ZEOTYPE,Modification,AS,A/T,FDSi,Largest_Ring_sizes,MDa,MDb,MDc,Mdi,CD,Crystal_size,Reaction_temp,WHSV,TOS
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,3.9
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,20.92
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,37.93
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,54.89
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,72.12
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,89.38
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,106.2
AEI,0,0,0.02,15.1,8,3.84,3.84,3.64,7.33,3,3,400,2,123.34
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,0.06
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,5.47
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,11.71
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,17.95
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,23.37
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,29.61
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,35.85
CHA,0,0,0.09,15.1,8,3.72,3.72,3.72,7.37,3,0.5,400,7,41.68
BEA,0,1,0.003584229,15.3,12,5.95,5.95,5.95,6.68,3,3,500,4,592.4136
BEA,0,1,0.003584229,15.3,12,5.95,5.95,5.95,6.68,3,3,500,4,634.4826
BEA,0,1,0.003584229,15.3,12,5.95,5.95,5.95,6.68,3,3,500,4,676.5516
BEA,0,1,0.003584229,15.3,12,5.95,5.95,5.95,6.68,3,3,500,4,718.6206
BEA,0,1,0.003533569,15.3,12,5.95,5.95,5.95,6.68,3,3,550,2,4.0404
BEA,0,1,0.003533569,15.3,12,5.95,5.95,5.95,6.68,3,3,550,2,62.6262
BEA,0,1,0.003533569,15.3,12,5.95,5.95,5.95,6.68,3,3,550,2,115.1514
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,10.3044
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,58.881
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,119.2344
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,179.5878
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,238.4688
CON,1,1,0.009090909,15.7,12,4.89,4.89,5.6,7.45,3,4,500,4.85,298.8222
BEA,0,1,0.013157895,15.3,12,5.95,5.95,5.95,6.68,3,,500,4.85,120.0606
BEA,0,1,0.013157895,15.3,12,5.95,5.95,5.95,6.68,3,,500,4.85,238.602
BEA,0,1,0.013157895,15.3,12,5.95,5.95,5.95,6.68,3,,500,4.85,360.1824
BEA,0,1,0.013157895,15.3,12,5.95,5.95,5.95,6.68,3,,500,4.85,478.7232
MFI,0,1,0.006666667,18.4,10,4.7,4.46,4.46,6.63,3,,500,4.85,9.4338
MFI,0,1,0.006666667,18.4,10,4.7,4.46,4.46,6.63,3,,500,4.85,117.9246
MFI,0,1,0.006666667,18.4,10,4.7,4.46,4.46,6.63,3,,500,4.85,238.9938
MOR,1,1,0.019230769,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,299.5254
MOR,1,1,0.019230769,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,359.3472
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,0.9396
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,60.1176
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,120.2346
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,180.3522
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,299.6478
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,419.8824
MOR,1,1,0.01010101,17,12,1.57,2.95,6.45,6.7,2,0.2,450,1,480
MWW,1,1,0.033333333,15.9,10,4.92,4.92,2.6,9.69,2,1,450,2,3111.5142
MWW,1,1,0.033333333,15.9,10,4.92,4.92,2.6,9.69,2,1,450,2,3405.2586
MWW,1,1,0.033333333,15.9,10,4.92,4.92,2.6,9.69,2,1,450,2,3666.3642
MWW,1,1,0.033333333,15.9,10,4.92,4.92,2.6,9.69,2,1,450,2,3960.1086
